"ChassisIndex","SlotIndex","Index","Type","Link","AutoNegotiation","Duplex","Speed","RxActivity","TxActivity","CollisionActivity","Loopback","Enable","SelectLink","LIN","Aging","MaxPacketSize","RemoteLoopback","ErrorActivity","Name","Value","Threshold","ThresholdAction","RMChassis","RMSlot","RMPort","SerialNumber","VendorInfo","Medium","Connector","Wavelength","ZoneIdAdmin","NominalBitRate","ModulePort","PartRev","IfIndex","Linked","Operational","ZoneChassisAdmin","ZoneSlotAdmin","FlowControl","AutoNegAd","AutoNegEditable","WavelengthX","ZoneIdOper","ZoneSlotOper","ZoneChassisOper","LinkMatch","MDIPinoutAdmin","MDIPinoutOper","FCRecvAdmin","FCRecvOper","FCSendAdmin","FCSendOper","AutoNegWait","AmpGainOper","AmpGainAdmin","AmpOutputPwrAdmin","ProtoCapabilities","ProtoAdmin","ProtoOper","PreambleLen","Preferred","CableLen","RedundantTxMode","Termination","Description","TransmitUnmapped","ToggleMode","Revertive","I2CSpeed","MappingType","SupportsEfm","mrvEusmPortSupportsEusm","mrvEusmPortSmartLoopbackAction","mrvEusmPortSmartLoopbackSwap","mrvEusmPortSmartLoopbackMac","mrvEusmPortSmartLoopbackVid","mrvEusmPortQinQAction","mrvEusmPortQinQServiceVid","mrvEusmPortQinQServicePriority","mrvEusmTgaDa","mrvEusmTgaDaType","mrvEusmTgaSa","mrvEusmTgaSaType","mrvEusmTgaTag","mrvEusmTgaTagType","mrvEusmTgaPattern","mrvEusmTgaPatternType","mrvEusmTgaFrameSize","mrvEusmTgaFrameSizeType","mrvEusmTgaFrameCount","mrvEusmTgaFrameCountType","mrvEusmTgaInterPacketGap","mrvEusmTgaAction","mrvEusmCableTestStatus","mrvEusmCableTestResult","DDiag.Temperature","DDiag.TxPower","DDiag.RxPower","DDiag.BiasAmps","DDiag.SupplyVolts","DDiag.DigitalDiags","DDiag.AlarmCause","DDiag.TemperatureLevel","DDiag.TxPowerLevel","DDiag.RxPowerLevel","DDiag.BiasAmpsLevel","DDiag.SupplyVoltsLevel",
"1","1","1","28","noSignal","off","half","spd10Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","enable","notSupported","notSupported","notSupported","notSupported","","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","1","N/A","101001","no","yes","0","0","notSupported","03","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:80:00:00:00","0","24","notSupported","notSupported","notSupported","notSupported","notSupported","","enabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","2","28","noSignal","off","full","spd10Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","enable","notSupported","notSupported","notSupported","notSupported","","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","2","N/A","101002","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:80:00:00:00","0","24","notSupported","notSupported","notSupported","notSupported","notSupported","","enabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","3","28","noSignal","on","half","spd10Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","enable","notSupported","notSupported","notSupported","notSupported","to s-ce-1**fa0** SMK","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","3","N/A","101003","no","yes","0","0","notSupported","39","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:80:00:00:00","0","24","notSupported","notSupported","notSupported","notSupported","notSupported","","enabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","4","28","noSignal","on","half","spd10Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","enable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.4","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","4","N/A","101004","no","yes","0","0","notSupported","3d","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:80:00:00:00","0","24","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","5","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.5","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","5","N/A","101005","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","6","28","noSignal","on","full","spd100Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.6","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","6","N/A","101006","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","disabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:20:00:00:00","0","26","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","7","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.7","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","7","N/A","101007","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","8","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.8","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","8","N/A","101008","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","9","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.9","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","9","N/A","101009","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","10","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.10","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","10","N/A","101010","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
